CustomerID,Age,Gender,AnnualIncome,SpendingScore,ChannelPreference,RecentPurchase,PurchaseCategory,AvgPurchaseValue,VisitsPerMonth,LatentSegment
1001,23,F,51000,84,Online,8,Apparel,69,12,Young Online Enthusiasts
1002,32,F,48000,74,Online,8,Beauty,62,7,Young Online Enthusiasts
1003,31,F,48000,89,Online,3,Apparel,65,7,Young Online Enthusiasts
1004,28,M,42000,87,Online,5,Gaming,70,8,Young Online Enthusiasts
1005,28,F,37000,93,Online,9,Gaming,32,12,Young Online Enthusiasts
1006,34,M,52000,89,Online,9,Beauty,39,11,Young Online Enthusiasts
1007,23,M,62000,79,Online,6,Gaming,47,6,Young Online Enthusiasts
1008,31,F,36000,95,Online,9,Apparel,38,7,Young Online Enthusiasts
1009,24,M,61000,80,Online,9,Beauty,61,11,Young Online Enthusiasts
1010,23,F,60000,78,Online,6,Apparel,77,6,Young Online Enthusiasts
1011,29,M,43000,93,Online,10,Gaming,76,11,Young Online Enthusiasts
1012,35,F,54000,79,Online,5,Apparel,63,7,Young Online Enthusiasts
1013,32,M,40000,71,Online,4,Gaming,90,12,Young Online Enthusiasts
1014,32,F,58000,82,Online,8,Gaming,70,8,Young Online Enthusiasts
1015,32,F,56000,90,Online,8,Beauty,35,9,Young Online Enthusiasts
1016,33,F,45000,74,Hybrid,4,Gaming,84,10,Young Online Enthusiasts
1017,29,M,37000,82,In-store,9,Beauty,70,6,Young Online Enthusiasts
1018,23,M,65000,73,Online,4,Gaming,75,9,Young Online Enthusiasts
1019,33,F,48000,87,Online,9,Beauty,70,9,Young Online Enthusiasts
1020,28,F,62000,82,Hybrid,3,Gaming,69,11,Young Online Enthusiasts
1021,29,F,56000,78,Online,9,Gaming,36,12,Young Online Enthusiasts
1022,27,M,59000,75,Online,9,Beauty,69,10,Young Online Enthusiasts
1023,24,F,58000,84,Online,9,Apparel,86,8,Young Online Enthusiasts
1024,34,F,41000,87,Online,8,Gaming,51,8,Young Online Enthusiasts
1025,32,M,46000,94,Online,6,Apparel,72,8,Young Online Enthusiasts
1026,31,M,49000,81,In-store,8,Beauty,32,11,Young Online Enthusiasts
1027,27,F,50000,74,Online,5,Beauty,54,8,Young Online Enthusiasts
1028,33,M,36000,91,Online,9,Gaming,61,7,Young Online Enthusiasts
1029,43,F,123000,54,In-store,5,Home Décor,161,2,Affluent Tech Buyers
1030,37,F,112000,58,In-store,1,Electronics,199,4,Affluent Tech Buyers
1031,52,M,108000,75,In-store,4,Home Décor,220,6,Affluent Tech Buyers
1032,52,M,140000,75,Hybrid,4,Home Décor,227,5,Affluent Tech Buyers
1033,38,F,118000,49,In-store,2,Health & Fitness,400,5,Affluent Tech Buyers
1034,42,F,139000,72,Hybrid,2,Home Décor,345,4,Affluent Tech Buyers
1035,41,M,148000,47,Online,1,Health & Fitness,230,3,Affluent Tech Buyers
1036,52,F,109000,68,In-store,5,Health & Fitness,393,2,Affluent Tech Buyers
1037,53,M,102000,71,In-store,5,Health & Fitness,275,6,Affluent Tech Buyers
1038,53,F,148000,72,Online,2,Home Décor,275,5,Affluent Tech Buyers
1039,59,F,128000,51,Online,1,Electronics,258,1,Affluent Tech Buyers
1040,54,M,107000,72,In-store,1,Home Décor,186,5,Affluent Tech Buyers
1041,43,F,127000,48,Hybrid,1,Electronics,384,1,Affluent Tech Buyers
